"Predictor";"GVIF";"Df";"GVIF_adj"
"ln_preco_por_kg2";8,97055040941492;1;2,99508771314213
"ln_preco_por_kg3";4,78795815377608;1;2,18814034142604
"ln_preco_por_kg4";4,28456687767974;1;2,06991953410748
"ln_preco_por_kg5";8,65856462887107;1;2,94254390432345
"ln_preco_por_kg6";11,30720719742;1;3,36261909787892
"z";8,65806410740556;1;2,94245885398684
"f_reg";4,50982101247843;4;1,20717411159339
"f_area";2,44244784572805;1;1,56283327508985
"f_cap";1,39819446256422;1;1,18245273164056
"p_n_mais65anos";1,23811020420446;1;1,1127040056567
"p_sexofem_c";10,2026840907215;1;3,19416406759602
"p_n_0esc";1,85789752140797;1;1,36304714570259
"z2";6,76564018924062;1;2,60108442562725
"f_reg:p_sexofem_c";11,1911757826241;4;1,35241339836063
