"eq";"rank_X";"rank_Z";"df_J";"J_sargan";"p_sargan";"J_hansen";"p (PSU)";"p (UF)"
"w_despesahat2";21;23;2;NA;NA;0,2596275938546;0,878258950211347;NA
"w_despesahat3";21;23;2;NA;NA;4,11027452818314;0,128075254237491;NA
"w_despesahat4";21;23;2;NA;NA;3,65651098625074;0,160693654582589;NA
"w_despesahat5";21;23;2;NA;NA;3,29864677295034;0,192179896157072;NA
"w_despesahat6";21;23;2;NA;NA;5,10280861464905;0,0779720923012586;NA
"w_despesahat2";21;23;2;NA;NA;5,50443735563862;NA;0,0637861831061598
"w_despesahat3";21;23;2;NA;NA;15,2531717774074;NA;0,000487321792256301
"w_despesahat4";21;23;2;NA;NA;13,0592215251081;NA;0,0014595738600357
"w_despesahat5";21;23;2;NA;NA;10,7542499065017;NA;0,00462108869560045
"w_despesahat6";21;23;2;NA;NA;11,7711757813542;NA;0,00277921187221285
