"equation";"regressor";"df1";"df2";"statistic";"p-value"
"w_despesahat1";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat1";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat1";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat1";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat1";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat1";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
"w_despesahat2";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat2";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat2";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat2";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat2";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat2";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
"w_despesahat3";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat3";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat3";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat3";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat3";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat3";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
"w_despesahat4";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat4";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat4";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat4";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat4";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat4";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
"w_despesahat5";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat5";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat5";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat5";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat5";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat5";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
"w_despesahat6";"preco_com_reforma21";19;511;3,60869247790518;5,26680995645714e-07
"w_despesahat6";"preco_com_reforma22";19;511;2,28496550258469;0,00158712768193188
"w_despesahat6";"preco_com_reforma23";19;511;1,27859260311481;0,19138607170659
"w_despesahat6";"preco_com_reforma24";19;511;20,2779545581188;1,02052571008693e-50
"w_despesahat6";"preco_com_reforma25";19;511;3,76636264386263;1,91820202847822e-07
"w_despesahat6";"preco_com_reforma26";19;511;5,98130900785493;8,89489587015207e-14
